,location,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,salary_indicated,num_words_company_profile
81,US,False,True,True,Full-time,Entry level,Normal education,Manufacturing,Customer Service,1,120
82,GB,False,True,False,Full-time,Mid-Senior level,,Media and News,Writing/Editing,1,44
83,GR,False,True,True,Other,Mid-Senior level,Higher Education,Computer and Technology,Engineering,0,111
84,US,False,True,False,,,,Fashion,,0,155
85,US,False,True,False,Contract,Entry level,,Energy,Sales,0,75
86,GB,False,True,True,Full-time,Associate,Unspecified,Media and News,Sales,1,53
87,MY,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Business Analyst,1,181
88,US,False,True,False,Full-time,,,Energy,Engineering,0,54
89,US,False,True,False,,,,,,0,77
90,,False,True,True,,,,,,0,25
91,US,False,False,False,Full-time,,,Computer and Technology,,0,32
92,GR,False,True,False,Full-time,Entry level,Higher Education,Telecommunication,Engineering,0,108
93,GB,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Design,1,201
94,US,False,True,True,Temporary,Associate,Normal education,Construction,Administrative,0,122
95,US,False,True,False,Full-time,Entry level,Normal education,Hospitality,Customer Service,0,86
96,GR,False,True,True,Full-time,Director,,Telecommunication,,0,392
97,US,False,True,True,,,,Manufacturing,Other,0,243
98,US,False,True,True,,Associate,,Energy,Product Management,0,141
99,US,False,True,True,Full-time,,Normal education,Construction,Production,0,311
100,US,False,True,False,Full-time,Entry level,Normal education,Hospitality,Customer Service,0,86
101,DE,False,True,True,Full-time,,,,,0,20
102,US,False,True,False,Contract,,Higher Education,Education,,0,10
103,US,False,True,True,Full-time,Associate,Normal education,Computer and Technology,Customer Service,0,551
104,HU,False,True,True,Full-time,Mid-Senior level,Unspecified,HR and Consulting,Engineering,0,46
105,,False,True,True,,,,,,0,48
106,GR,False,True,False,Full-time,Mid-Senior level,,Computer and Technology,,0,249
107,GB,False,False,True,,,,,,0,33
108,US,False,True,False,Full-time,,Higher Education,Computer and Technology,Human Resources,0,154
109,US,False,True,True,Contract,,Higher Education,Education,,0,10
110,US,False,True,False,Full-time,Associate,Higher Education,Computer and Technology,Finance,0,77
111,GB,False,True,False,Full-time,Associate,Higher Education,Finance and Economic,Design,1,105
112,US,False,True,True,Contract,,Higher Education,Education,,0,10
113,GB,False,True,True,,Not Applicable,Normal education,,,0,131
114,US,False,True,False,Contract,,,,,0,41
115,RO,False,True,False,Full-time,Associate,Higher Education,Healthcare,Health Care Provider,1,109
116,SE,False,True,True,Full-time,Entry level,,Entertainment,Marketing,0,69
117,PL,True,True,True,,,,,,0,25
118,SE,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,83
119,US,False,True,True,Contract,,,Energy,,0,36
120,US,False,False,False,Full-time,,,,,0,32
121,US,False,True,True,,,,,,0,64
122,US,False,True,True,Full-time,Executive,,Non-Profit Organisation,,0,64
123,US,False,True,True,Full-time,Associate,Unspecified,Hospitality,Sales,0,97
124,GB,False,True,True,Full-time,Not Applicable,Normal education,,Administrative,0,131
125,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Media and News,,0,192
126,GB,False,True,True,Full-time,Associate,Unspecified,Finance and Economic,Information Technology,1,105
127,US,False,True,True,Full-time,,Highest Education,,Education,0,167
128,GB,False,True,True,Full-time,Associate,Higher Education,Finance and Economic,Sales,0,105
129,EE,False,True,True,Full-time,,,Finance and Economic,,0,53
130,US,True,True,True,Full-time,,,Computer and Technology,,1,70
131,US,False,True,True,Full-time,Mid-Senior level,,Computer and Technology,Design,0,131
132,GB,False,True,True,Part-time,Entry level,,Fashion,,0,229
133,GR,False,False,True,,,,Food and Beverage,,0,84
134,US,False,True,False,Full-time,Entry level,Normal education,Finance and Economic,Customer Service,0,86
135,KE,False,True,True,Full-time,Director,Highest Education,Aerospace,Management,0,90
136,DE,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,1,147
137,UA,False,True,False,Full-time,Mid-Senior level,,,,0,23
138,CA,False,True,True,Full-time,Mid-Senior level,,Computer and Technology,Sales,0,290
139,FR,False,True,True,,,,,,0,56
140,,False,True,False,Full-time,Mid-Senior level,Higher Education,Advertising and marketing,Marketing,1,80
141,CA,True,False,False,Full-time,Mid-Senior level,Higher Education,,Marketing,0,67
142,US,False,False,False,Full-time,,,Computer and Technology,,0,32
143,US,False,True,True,Full-time,Mid-Senior level,Higher Education,,,0,70
144,US,False,True,True,Part-time,Entry level,,Food and Beverage,,0,51
145,GB,False,True,True,Full-time,,,HR and Consulting,Human Resources,0,131
146,US,False,False,False,Full-time,,,,,0,32
147,NZ,False,True,True,,,,Fashion,,0,312
148,GR,False,True,False,Full-time,Mid-Senior level,,,,0,76
149,GR,False,True,True,Full-time,Mid-Senior level,,Computer and Technology,Information Technology,0,88
150,US,False,True,True,Full-time,,Higher Education,Fashion,,0,99
151,US,False,True,False,Full-time,Associate,,Advertising and marketing,Marketing,1,221
152,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,144
153,GR,True,True,False,Full-time,Mid-Senior level,,Computer and Technology,,0,95
154,GR,False,True,True,Full-time,Mid-Senior level,Unspecified,Telecommunication,Engineering,0,392
155,US,False,True,True,Full-time,Not Applicable,Unspecified,Construction,Administrative,0,91
156,US,False,True,True,Part-time,Entry level,Normal education,Transportation,Customer Service,0,101
157,US,False,True,True,Contract,,Higher Education,Education,,0,10
158,US,False,True,False,Full-time,,,Construction,,0,110
159,US,False,True,True,Contract,,Higher Education,Education,,0,10
160,US,False,False,False,Full-time,,,,,0,32
161,GB,False,True,True,Full-time,Not Applicable,Unspecified,Media and News,Business Development,0,100
162,GB,False,True,False,Full-time,Internship,Normal education,Manufacturing,,0,131
163,US,False,True,True,Contract,Entry level,Higher Education,Education,Education,0,10
164,US,False,True,False,Full-time,,,,,0,69
165,NZ,False,False,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,1,132
166,GB,False,True,False,Full-time,,,Computer and Technology,Engineering,0,67
167,GB,False,True,True,Full-time,Mid-Senior level,Higher Education,Non-Profit Organisation,Engineering,0,308
168,US,False,True,True,Full-time,Associate,,Aerospace,Legal,1,88
169,US,False,True,True,Contract,,Higher Education,Education,,0,10
170,US,False,True,False,Temporary,,,Fashion,,0,33
171,US,False,True,True,Full-time,Associate,Normal education,Computer and Technology,Sales,1,89
172,SG,False,True,True,Full-time,,Higher Education,,Education,1,96
173,GB,False,True,True,,,,,,0,39
174,US,False,True,True,Full-time,,Higher Education,Computer and Technology,Writing/Editing,0,13
175,HK,False,True,False,Full-time,Entry level,Higher Education,Computer and Technology,,1,79
176,NZ,False,True,True,Part-time,Associate,,Energy,Sales,0,32
177,DE,False,True,False,Other,Internship,,Advertising and marketing,Advertising,0,24
178,US,False,True,True,Full-time,Entry level,Normal education,Construction,Management,1,26
179,GB,False,True,False,Full-time,Mid-Senior level,,Computer and Technology,,0,264
180,GB,False,True,False,Full-time,Internship,,,Administrative,0,131
181,GR,False,True,False,Full-time,Mid-Senior level,,,Engineering,0,100
182,DE,False,True,True,,,,,,0,64
183,,False,True,False,,,,,,0,7
184,US,False,True,False,Full-time,Associate,Higher Education,Healthcare,Accounting/Auditing,0,46
185,,False,True,True,,,,,,0,48
186,US,False,True,True,Full-time,Associate,Higher Education,Manufacturing,Information Technology,0,320
187,US,False,False,False,Full-time,,,,,0,32
188,US,False,True,True,Contract,,Higher Education,Education,,0,10
189,US,False,True,False,Contract,,Higher Education,Education,,0,10
190,US,False,True,True,,,,Fashion,,0,198
191,US,False,False,False,Full-time,,,Advertising and marketing,,0,32
192,GB,False,True,True,,,,,,0,92
193,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Finance and Economic,Information Technology,1,111
194,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Sales,0,141
195,US,False,True,True,Full-time,Entry level,Higher Education,Computer and Technology,Information Technology,1,201
196,US,False,False,False,Full-time,,,Computer and Technology,,0,32
197,NZ,False,True,True,Full-time,Mid-Senior level,Higher Education,Manufacturing,Engineering,1,127
198,US,False,True,True,,,,Fashion,,0,48
199,JP,True,True,False,Full-time,Associate,Higher Education,HR and Consulting,Sales,1,70
200,GB,False,True,True,Part-time,Entry level,Higher Education,Media and News,,0,72
201,US,False,True,False,Full-time,Entry level,Normal education,Hospitality,Customer Service,0,86
202,US,False,True,False,Full-time,Associate,,Fashion,Engineering,0,54
203,,False,True,False,,,,,,0,107
204,US,False,True,True,Full-time,Mid-Senior level,Unspecified,Construction,,0,144
205,IL,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Engineering,0,56
206,US,False,True,False,Full-time,Entry level,Normal education,Government and Legislation,Customer Service,0,86
207,DE,False,True,True,Full-time,,,Fashion,Engineering,0,78
208,US,False,True,True,Full-time,Associate,Higher Education,Media and News,Design,0,70
209,US,False,True,False,Full-time,,Higher Education,,Research,0,91
210,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Media and News,Sales,0,74
211,GB,False,True,True,Full-time,Entry level,Vocational,,Administrative,0,131
212,US,True,True,True,Full-time,Associate,Higher Education,Computer and Technology,Information Technology,1,333
213,GB,False,True,True,Full-time,Entry level,Higher Education,Construction,Sales,1,111
214,US,False,False,False,Full-time,,,,,0,32
215,GB,False,True,True,Full-time,Entry level,Unspecified,Fashion,Customer Service,1,82
216,GB,False,True,False,,Not Applicable,Normal education,,Sales,0,131
217,US,False,True,True,Full-time,Associate,Normal education,Finance and Economic,Customer Service,0,100
218,GR,False,True,True,Full-time,Entry level,,Telecommunication,Marketing,0,392
219,GR,False,True,True,Full-time,Not Applicable,Higher Education,Computer and Technology,Sales,1,114
220,GB,False,True,False,,,,Finance and Economic,,0,53
221,GB,False,True,False,Full-time,Mid-Senior level,,Fashion,,0,93
222,,False,True,False,Full-time,Mid-Senior level,,Computer and Technology,,1,74
223,US,False,False,True,Full-time,Associate,Normal education,Media and News,Sales,0,105
224,US,False,True,True,Temporary,Entry level,Higher Education,Computer and Technology,Information Technology,0,155
225,US,False,False,False,Full-time,,,Entertainment,,0,32
226,US,False,True,False,Full-time,Associate,Unspecified,Healthcare,Sales,0,144
227,US,False,True,True,Full-time,,,Computer and Technology,,0,226
228,US,False,True,False,Full-time,Entry level,Higher Education,Finance and Economic,Accounting/Auditing,0,35
229,US,False,True,False,Full-time,,,Construction,Sales,0,110
230,US,False,True,True,Full-time,Director,Highest Education,Advertising and marketing,Engineering,0,147
231,IN,True,True,True,Part-time,Not Applicable,Higher Education,Computer and Technology,Writing/Editing,0,413
232,US,True,True,True,Contract,Not Applicable,Unspecified,Computer and Technology,Sales,1,95
233,US,False,True,False,Full-time,Associate,Higher Education,Computer and Technology,,0,67
234,US,False,False,False,Full-time,Mid-Senior level,Higher Education,Manufacturing,Engineering,0,32
235,US,False,False,False,Full-time,,,,,0,32
236,US,False,True,True,Contract,,Higher Education,Education,,0,10
237,DE,False,True,True,Full-time,Entry level,Normal education,Computer and Technology,Sales,1,44
238,GB,False,True,True,Full-time,Internship,Higher Education,Media and News,Public Relations,0,53
239,NZ,False,True,False,,,,,,0,32
240,US,False,True,True,Full-time,Associate,,Computer and Technology,Marketing,0,73
241,US,False,True,False,,,,,,0,192
242,MX,False,True,True,Full-time,Mid-Senior level,,Advertising and marketing,Sales,0,230
243,US,False,True,True,Full-time,Mid-Senior level,Higher Education,,Human Resources,0,77
244,US,False,True,True,Full-time,Mid-Senior level,Normal education,Energy,Other,1,130
245,NZ,False,True,True,Full-time,Director,Higher Education,Manufacturing,Engineering,1,127
246,US,False,True,True,Full-time,,,Computer and Technology,,0,86
247,GB,False,True,True,Contract,Entry level,Higher Education,Manufacturing,Project Management,1,67
248,US,False,True,True,Full-time,Associate,,Computer and Technology,,0,115
249,US,False,True,True,Contract,,Higher Education,Education,,0,10
250,US,False,True,False,Full-time,Entry level,Unspecified,Energy,Sales,0,75
251,US,False,True,True,Full-time,Director,,Advertising and marketing,Art/Creative,0,55
252,US,False,True,False,,,,,,0,129
253,US,False,True,True,,,,Hospitality,,0,135
254,US,False,True,False,Contract,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,115
255,GR,False,True,True,,,,,,0,13
256,GB,False,True,False,Full-time,Director,Highest Education,Computer and Technology,Engineering,0,178
257,US,False,True,True,Full-time,,Highest Education,,Education,0,167
258,GR,False,True,True,,,,Fashion,,0,172
259,GB,False,True,True,Full-time,Associate,Higher Education,Media and News,Marketing,0,191
260,US,False,True,False,Full-time,Mid-Senior level,,Computer and Technology,,0,147
261,US,True,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Sales,0,100
262,DE,False,True,True,Other,,,Education,Writing/Editing,0,107
263,US,False,True,True,Full-time,Mid-Senior level,,Advertising and marketing,Sales,0,207
264,US,False,False,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,1,102
265,GB,False,True,False,Full-time,Associate,Normal education,Advertising and marketing,Production,0,116
266,DE,False,True,True,Other,Internship,Normal education,Fashion,Design,0,64
267,US,False,False,False,Full-time,,,Advertising and marketing,,0,32
268,GR,True,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Engineering,0,62
269,GB,False,True,True,Full-time,,Higher Education,Advertising and marketing,Project Management,1,377
270,US,False,True,True,Other,,Normal education,Healthcare,Health Care Provider,0,29
271,GB,False,True,False,Full-time,,,Fashion,,0,65
272,US,True,True,True,Full-time,Associate,Higher Education,Computer and Technology,Information Technology,1,333
273,US,False,True,False,Full-time,Not Applicable,Unspecified,Hospitality,Sales,1,84
274,US,False,True,True,Full-time,Associate,Normal education,Finance and Economic,Customer Service,0,100
275,GB,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,43
276,GR,False,True,False,Full-time,Associate,Highest Education,Computer and Technology,Engineering,0,137
277,US,False,True,True,Part-time,Not Applicable,Higher Education,Advertising and marketing,Administrative,0,98
278,US,False,True,True,Full-time,Mid-Senior level,Unspecified,Non-Profit Organisation,Accounting/Auditing,0,209
279,US,False,True,True,Full-time,Entry level,,Healthcare,,0,97
280,US,False,True,False,Part-time,Entry level,Normal education,Computer and Technology,Sales,1,61
281,US,False,True,False,Full-time,,,Construction,Sales,0,110
282,CA,False,True,True,Full-time,Not Applicable,Higher Education,Computer and Technology,Information Technology,0,588
283,US,False,True,True,Full-time,Entry level,Normal education,Non-Profit Organisation,Health Care Provider,0,127
284,US,False,True,False,Part-time,Entry level,Normal education,Entertainment,Customer Service,0,86
285,HK,False,True,False,Full-time,Entry level,Higher Education,Computer and Technology,Information Technology,1,79
286,US,False,True,True,,,,Computer and Technology,,0,158
287,GR,False,True,False,,,,,,0,392
288,EE,False,True,True,,,,Finance and Economic,,0,53
289,US,False,True,True,Full-time,Entry level,Normal education,Healthcare,,0,64
290,US,False,True,True,Full-time,Mid-Senior level,Certification,Energy,Other,1,130
291,US,False,True,True,Full-time,Not Applicable,Normal education,Healthcare,Sales,0,159
292,US,False,True,False,,,,Fashion,Customer Service,0,91
293,US,False,True,True,,,,Computer and Technology,,0,158
294,ID,False,True,False,Full-time,Mid-Senior level,Higher Education,Fashion,Design,0,11
295,GB,False,True,False,Temporary,,Higher Education,Finance and Economic,Marketing,0,53
296,US,False,True,True,,,,,,0,129
297,US,False,False,False,Full-time,,,Entertainment,,0,32
298,US,False,True,True,Full-time,Mid-Senior level,Normal education,Construction,Sales,1,175
299,US,False,True,False,,,,,,0,141
300,US,True,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,155
301,US,True,True,False,Part-time,Entry level,Normal education,Computer and Technology,Customer Service,0,108
302,QA,False,True,False,Full-time,Associate,Highest Education,Healthcare,Health Care Provider,0,84
303,US,False,True,False,Contract,Associate,Higher Education,Healthcare,Consulting,0,49
304,US,False,True,False,,,,Manufacturing,,0,110
305,,False,True,False,,,,,,0,48
306,US,False,True,True,,,,Manufacturing,Other,0,243
307,US,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Business Analyst,0,116
308,US,False,True,False,Part-time,Entry level,Normal education,Government and Legislation,Customer Service,0,86
309,GB,False,True,False,Full-time,Mid-Senior level,Higher Education,Advertising and marketing,Engineering,1,377
310,GR,True,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Engineering,1,51
311,US,False,False,False,Full-time,,,,,0,32
312,US,False,True,True,Contract,,Higher Education,Education,,0,10
313,GB,False,True,True,Full-time,Not Applicable,Normal education,Manufacturing,Distribution,0,131
314,US,False,True,True,Full-time,Associate,,Advertising and marketing,Sales,1,207
315,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Product Management,0,60
316,US,False,True,True,Temporary,Associate,Unspecified,Finance and Economic,Administrative,1,127
317,US,False,True,False,Full-time,Entry level,,Computer and Technology,Information Technology,0,96
318,US,False,True,False,Full-time,Entry level,Normal education,Healthcare,Customer Service,0,86
319,GB,False,True,False,,,,Fashion,,0,131
320,GB,False,True,False,Full-time,Mid-Senior level,Unspecified,Computer and Technology,Information Technology,1,61
321,GR,True,True,True,Full-time,Associate,Higher Education,Computer and Technology,Engineering,0,107
322,US,False,True,False,Full-time,Entry level,Normal education,Hospitality,Other,1,89
323,US,False,True,True,Full-time,,,Fashion,,0,293
324,DE,False,True,True,,,,,,0,107
325,US,False,True,True,Full-time,Associate,Unspecified,Finance and Economic,Customer Service,0,100
326,GR,True,True,True,,,,Computer and Technology,,0,140
327,US,False,True,True,Contract,Director,Higher Education,Advertising and marketing,Data Analyst,0,55
328,US,False,True,False,,,,,,0,86
329,NZ,False,True,True,Full-time,,,Computer and Technology,,0,312
330,GB,False,True,True,Full-time,,Higher Education,Education,Marketing,0,92
331,US,False,True,False,Full-time,Entry level,Normal education,Computer and Technology,Customer Service,0,86
332,US,False,True,True,Contract,Entry level,Higher Education,Education,Education,0,10
333,DE,False,True,True,Contract,Mid-Senior level,Unspecified,HR and Consulting,Administrative,0,134
334,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,179
335,US,False,True,True,Part-time,Entry level,Normal education,Non-Profit Organisation,Health Care Provider,0,50
336,US,False,True,True,Part-time,Associate,Normal education,Fashion,Sales,0,115
337,US,False,True,False,Full-time,Entry level,Normal education,Advertising and marketing,Sales,0,65
338,US,False,False,False,Full-time,,,HR and Consulting,,0,32
339,GB,False,True,False,,,,,,0,131
340,GR,False,True,True,Full-time,Entry level,Higher Education,Computer and Technology,Marketing,0,85
341,GB,False,True,True,Full-time,Mid-Senior level,Higher Education,Finance and Economic,Public Relations,1,105
342,US,False,True,False,Full-time,Entry level,Normal education,Healthcare,Customer Service,0,86
343,US,False,True,True,,,,Finance and Economic,,0,52
344,US,False,True,False,Full-time,Mid-Senior level,,Computer and Technology,,0,138
345,CA,False,False,False,Full-time,,,Computer and Technology,,0,32
346,US,False,True,False,Full-time,Associate,Higher Education,Media and News,Sales,0,86
347,US,False,True,False,Contract,,,,,0,86
348,GB,False,True,False,Full-time,,,Fashion,Design,0,116
349,US,False,True,True,Contract,Entry level,Higher Education,Education,Education,0,10
350,US,False,True,False,Full-time,Entry level,Normal education,Healthcare,Administrative,0,86
351,US,True,True,True,,,,Fashion,,0,145
352,GB,False,True,True,Full-time,Mid-Senior level,Unspecified,Computer and Technology,Engineering,0,80
353,EE,False,True,True,,,,Finance and Economic,,0,53
354,CH,False,True,True,Full-time,Internship,Higher Education,Fashion,Art/Creative,0,87
355,MU,False,True,True,Contract,Entry level,Normal education,Computer and Technology,Customer Service,0,6
356,IE,False,True,True,Full-time,,,Entertainment,Marketing,0,270
357,HK,False,True,False,Full-time,Mid-Senior level,,Computer and Technology,Sales,0,12
358,CA,False,True,True,,,Certification,Healthcare,Health Care Provider,0,134
359,GB,False,True,True,Full-time,Entry level,Normal education,Hospitality,Administrative,0,131
360,US,False,True,False,Full-time,Associate,Higher Education,Advertising and marketing,Marketing,1,350
361,GB,False,True,False,,Not Applicable,Normal education,,,0,131
362,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Media and News,,0,192
363,US,False,True,False,Full-time,,Higher Education,Food and Beverage,Business Analyst,0,104
364,GR,False,True,True,Full-time,Entry level,Higher Education,Hospitality,Customer Service,0,236
365,,False,True,True,,,,,,0,20
366,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Entertainment,Management,0,67
367,US,False,True,False,Contract,,Higher Education,Education,,0,10
368,US,False,True,False,,,,Finance and Economic,,0,108
369,US,False,True,False,Part-time,Entry level,Normal education,Finance and Economic,Administrative,0,86
370,US,False,True,True,Full-time,Associate,Normal education,Non-Profit Organisation,Other,0,127
371,IE,False,True,True,Full-time,,,Telecommunication,,0,270
372,US,False,True,True,Contract,,Higher Education,Education,,0,10
373,US,False,True,True,Full-time,Entry level,Normal education,Manufacturing,Sales,0,320
374,DE,False,True,True,Other,,,,Writing/Editing,0,107
375,NZ,False,True,False,Full-time,Associate,Unspecified,Computer and Technology,Information Technology,0,216
376,US,True,True,True,Contract,,,Media and News,Writing/Editing,0,124
377,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,85
378,IE,False,True,False,Full-time,Mid-Senior level,Unspecified,Advertising and marketing,Project Management,0,37
379,GR,False,True,True,Full-time,Mid-Senior level,Unspecified,Computer and Technology,Engineering,0,324
380,GB,False,True,True,Full-time,,,Aerospace,Information Technology,0,206
381,IL,False,True,False,,,,Fashion,Research,0,47
382,US,False,True,True,Full-time,Entry level,,Computer and Technology,Customer Service,0,78
383,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Media and News,Strategy/Planning,0,70
384,US,False,True,True,Contract,,Higher Education,Education,Education,0,10
385,US,False,True,True,Full-time,,Higher Education,Education,Education,0,85
386,US,False,True,True,,,,Energy,,0,141
387,GR,False,True,True,Full-time,,,,,1,29
388,GB,False,True,False,Full-time,Not Applicable,Unspecified,Healthcare,Health Care Provider,0,109
389,US,True,True,False,Contract,,,,,0,100
390,US,False,False,False,Full-time,,,,,0,32
